<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;1;26/04/21;100100;3603.6600000;3608.1000000;3603.6600000;3607.4700000;882900655
IMOEX;1;26/04/21;100200;3605.9600000;3607.1500000;3604.6300000;3604.6300000;742558540
IMOEX;1;26/04/21;100300;3603.9400000;3606.1100000;3603.9400000;3605.4100000;743907164
IMOEX;1;26/04/21;100400;3606.0800000;3606.1500000;3603.2400000;3606.1500000;586309463
IMOEX;1;26/04/21;100500;3606.5100000;3608.7800000;3606.5100000;3607.8800000;568511350
IMOEX;1;26/04/21;100600;3608.4300000;3608.4300000;3606.4800000;3608.4000000;452914469
IMOEX;1;26/04/21;100700;3607.6200000;3607.6200000;3605.4100000;3605.8700000;415960569
IMOEX;1;26/04/21;100800;3604.7700000;3605.2300000;3604.4600000;3605.0700000;379553235
IMOEX;1;26/04/21;100900;3605.8700000;3606.2800000;3602.8500000;3603.4400000;493865151
IMOEX;1;26/04/21;101000;3602.4000000;3603.0900000;3601.6000000;3603.0900000;403703875
IMOEX;1;26/04/21;101100;3603.0400000;3603.9100000;3601.8300000;3602.1000000;524986858
IMOEX;1;26/04/21;101200;3601.7500000;3602.4800000;3600.5300000;3602.4800000;289093143
IMOEX;1;26/04/21;101300;3601.9800000;3604.3800000;3601.7200000;3604.3800000;401522241
IMOEX;1;26/04/21;101400;3604.2700000;3606.3800000;3603.8800000;3606.3800000;418793134
IMOEX;1;26/04/21;101500;3606.7400000;3606.7400000;3603.4100000;3603.4100000;638992131
IMOEX;1;26/04/21;101600;3602.2300000;3605.8300000;3602.2300000;3605.1400000;380805626
IMOEX;1;26/04/21;101700;3604.5900000;3605.5900000;3604.2900000;3605.5900000;232559637
IMOEX;1;26/04/21;101800;3606.0400000;3606.6000000;3603.2100000;3606.3900000;361576519
IMOEX;1;26/04/21;101900;3606.3400000;3606.3400000;3605.3300000;3605.6000000;299165184
IMOEX;1;26/04/21;102000;3606.0200000;3606.0200000;3604.3400000;3605.3300000;477159212
IMOEX;1;26/04/21;102100;3605.2100000;3607.9900000;3605.1200000;3607.9900000;429233821
IMOEX;1;26/04/21;102200;3608.2300000;3609.5200000;3607.4300000;3609.5200000;247516419
