<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
KMAZ;1;26/04/21;100100;70.4000000;70.4000000;70.4000000;70.4000000;80
KMAZ;1;26/04/21;100200;70.4000000;71.0000000;69.5000000;69.5000000;630
KMAZ;1;26/04/21;100300;69.6000000;69.9000000;69.3000000;69.9000000;1740
KMAZ;1;26/04/21;100400;69.9000000;69.9000000;69.5000000;69.8000000;1390
KMAZ;1;26/04/21;100500;69.8000000;69.8000000;69.4000000;69.4000000;320
KMAZ;1;26/04/21;100600;69.9000000;70.2000000;69.8000000;70.2000000;620
KMAZ;1;26/04/21;100700;70.0000000;70.3000000;70.0000000;70.3000000;170
KMAZ;1;26/04/21;100800;70.1000000;70.3000000;70.1000000;70.3000000;330
KMAZ;1;26/04/21;100900;70.1000000;70.3000000;70.1000000;70.3000000;390
KMAZ;1;26/04/21;101000;70.1000000;70.3000000;70.1000000;70.1000000;750
KMAZ;1;26/04/21;101100;70.3000000;70.3000000;70.1000000;70.1000000;340
KMAZ;1;26/04/21;101200;70.3000000;70.3000000;70.1000000;70.1000000;260
KMAZ;1;26/04/21;101300;70.2000000;70.3000000;70.1000000;70.1000000;430
KMAZ;1;26/04/21;101400;70.2000000;70.2000000;69.8000000;70.1000000;1480
KMAZ;1;26/04/21;101500;69.9000000;70.1000000;69.9000000;70.0000000;110
KMAZ;1;26/04/21;101600;70.0000000;70.1000000;69.9000000;69.9000000;360
KMAZ;1;26/04/21;101700;70.0000000;70.1000000;69.9000000;69.9000000;160
KMAZ;1;26/04/21;101800;69.9000000;70.1000000;69.9000000;69.9000000;540
KMAZ;1;26/04/21;101900;70.1000000;70.1000000;69.9000000;70.1000000;100
KMAZ;1;26/04/21;102000;70.1000000;70.1000000;69.8000000;69.8000000;380
KMAZ;1;26/04/21;102100;69.8000000;70.0000000;69.8000000;70.0000000;460
KMAZ;1;26/04/21;102200;69.8000000;70.1000000;69.8000000;69.9000000;1330
KMAZ;1;26/04/21;102300;70.0000000;70.0000000;70.0000000;70.0000000;360
KMAZ;1;26/04/21;102400;69.9000000;70.1000000;69.8000000;70.0000000;530
KMAZ;1;26/04/21;102500;69.9000000;70.1000000;69.8000000;69.8000000;430
KMAZ;1;26/04/21;102600;69.8000000;70.0000000;69.8000000;70.0000000;90
KMAZ;1;26/04/21;102700;70.0000000;70.0000000;69.9000000;69.9000000;120
KMAZ;1;26/04/21;102800;70.0000000;70.0000000;69.9000000;70.0000000;60
KMAZ;1;26/04/21;102900;70.0000000;70.0000000;69.9000000;70.0000000;180
KMAZ;1;26/04/21;103000;70.0000000;70.0000000;69.9000000;69.9000000;20
KMAZ;1;26/04/21;103100;70.0000000;70.0000000;69.9000000;70.0000000;70
KMAZ;1;26/04/21;103200;69.9000000;70.0000000;69.9000000;70.0000000;150
KMAZ;1;26/04/21;103300;69.9000000;70.0000000;69.9000000;69.9000000;330
KMAZ;1;26/04/21;103400;70.0000000;70.0000000;69.9000000;70.0000000;140
KMAZ;1;26/04/21;103500;69.9000000;70.0000000;69.9000000;70.0000000;130
KMAZ;1;26/04/21;103600;70.0000000;70.1000000;70.0000000;70.1000000;110
KMAZ;1;26/04/21;103700;70.1000000;70.1000000;70.0000000;70.0000000;60
KMAZ;1;26/04/21;103800;70.0000000;70.1000000;69.9000000;69.9000000;70
KMAZ;1;26/04/21;103900;70.0000000;70.0000000;70.0000000;70.0000000;20
KMAZ;1;26/04/21;104000;69.9000000;70.0000000;69.9000000;70.0000000;210
KMAZ;1;26/04/21;104100;69.9000000;70.0000000;69.8000000;69.8000000;110
KMAZ;1;26/04/21;104200;69.8000000;70.0000000;69.8000000;70.0000000;150
KMAZ;1;26/04/21;104300;70.0000000;70.0000000;69.8000000;69.8000000;190
KMAZ;1;26/04/21;104400;69.8000000;70.0000000;69.8000000;70.0000000;140
KMAZ;1;26/04/21;104500;70.0000000;70.0000000;69.8000000;69.8000000;810
KMAZ;1;26/04/21;104600;69.8000000;70.0000000;69.8000000;69.9000000;1310
KMAZ;1;26/04/21;104700;69.8000000;69.9000000;69.8000000;69.9000000;310
KMAZ;1;26/04/21;104800;69.9000000;69.9000000;69.8000000;69.9000000;80
KMAZ;1;26/04/21;104900;69.8000000;70.0000000;69.8000000;70.0000000;930
KMAZ;1;26/04/21;105000;69.9000000;70.0000000;69.9000000;69.9000000;440
KMAZ;1;26/04/21;105100;70.0000000;70.0000000;69.9000000;69.9000000;200
KMAZ;1;26/04/21;105200;70.0000000;70.1000000;69.9000000;70.0000000;980
KMAZ;1;26/04/21;105300;70.0000000;70.0000000;69.9000000;69.9000000;30
KMAZ;1;26/04/21;105400;69.9000000;69.9000000;69.9000000;69.9000000;180
KMAZ;1;26/04/21;105500;70.0000000;70.0000000;70.0000000;70.0000000;40
KMAZ;1;26/04/21;105600;70.1000000;70.1000000;70.1000000;70.1000000;20
KMAZ;1;26/04/21;105700;70.1000000;70.1000000;70.0000000;70.0000000;60
KMAZ;1;26/04/21;105800;70.0000000;70.0000000;70.0000000;70.0000000;280
KMAZ;1;26/04/21;105900;70.0000000;70.0000000;70.0000000;70.0000000;720
KMAZ;1;26/04/21;110000;70.0000000;70.0000000;69.9000000;69.9000000;50
KMAZ;1;26/04/21;110100;70.0000000;70.0000000;70.0000000;70.0000000;60
KMAZ;1;26/04/21;110200;69.9000000;70.0000000;69.9000000;70.0000000;20
KMAZ;1;26/04/21;110300;69.9000000;70.0000000;69.9000000;69.9000000;50
KMAZ;1;26/04/21;110400;69.9000000;70.0000000;69.9000000;70.0000000;290
KMAZ;1;26/04/21;110500;70.0000000;70.0000000;70.0000000;70.0000000;300
