<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
NLMK;1;27/04/21;100100;279.2200000
NLMK;1;27/04/21;100200;279.6400000
NLMK;1;27/04/21;100300;279.2400000
NLMK;1;27/04/21;100400;277.8800000
NLMK;1;27/04/21;100500;277.4400000
NLMK;1;27/04/21;100600;273.9200000
NLMK;1;27/04/21;100700;272.6000000
NLMK;1;27/04/21;100800;273.7200000
NLMK;1;27/04/21;100900;274.2800000
NLMK;1;27/04/21;101000;274.0200000
NLMK;1;27/04/21;101100;273.6800000
NLMK;1;27/04/21;101200;273.2000000
NLMK;1;27/04/21;101300;273.9400000
NLMK;1;27/04/21;101400;273.7000000
NLMK;1;27/04/21;101500;272.4400000
NLMK;1;27/04/21;101600;273.1800000
NLMK;1;27/04/21;101700;273.3800000
NLMK;1;27/04/21;101800;273.6000000
NLMK;1;27/04/21;101900;273.7000000
NLMK;1;27/04/21;102000;273.7000000
NLMK;1;27/04/21;102100;273.6800000
NLMK;1;27/04/21;102200;273.6000000
NLMK;1;27/04/21;102300;274.7200000
NLMK;1;27/04/21;102400;274.8000000
NLMK;1;27/04/21;102500;274.0000000
NLMK;1;27/04/21;102600;273.4600000
NLMK;1;27/04/21;102700;273.9200000
NLMK;1;27/04/21;102800;273.7400000
NLMK;1;27/04/21;102900;273.8400000
NLMK;1;27/04/21;103000;273.6600000
NLMK;1;27/04/21;103100;273.2200000
NLMK;1;27/04/21;103200;272.0000000
NLMK;1;27/04/21;103300;272.3200000
NLMK;1;27/04/21;103400;271.5600000
NLMK;1;27/04/21;103500;271.3600000
NLMK;1;27/04/21;103600;271.8000000
NLMK;1;27/04/21;103700;271.6800000
NLMK;1;27/04/21;103800;271.7200000
NLMK;1;27/04/21;103900;271.7200000
NLMK;1;27/04/21;104000;270.5400000
NLMK;1;27/04/21;104100;269.5400000
NLMK;1;27/04/21;104200;270.0200000
NLMK;1;27/04/21;104300;270.4000000
NLMK;1;27/04/21;104400;270.3800000
NLMK;1;27/04/21;104500;270.3800000
NLMK;1;27/04/21;104600;270.7600000
NLMK;1;27/04/21;104700;270.6600000
NLMK;1;27/04/21;104800;271.2800000
NLMK;1;27/04/21;104900;271.6000000
NLMK;1;27/04/21;105000;271.8000000
NLMK;1;27/04/21;105100;272.4000000
NLMK;1;27/04/21;105200;272.3600000
NLMK;1;27/04/21;105300;272.2000000
NLMK;1;27/04/21;105400;272.6000000
NLMK;1;27/04/21;105500;271.9600000
NLMK;1;27/04/21;105600;271.4200000
NLMK;1;27/04/21;105700;271.3600000
NLMK;1;27/04/21;105800;271.7000000
NLMK;1;27/04/21;105900;271.7800000
NLMK;1;27/04/21;110000;271.3200000
NLMK;1;27/04/21;110100;270.9800000
NLMK;1;27/04/21;110200;270.9600000
NLMK;1;27/04/21;110300;270.7000000
NLMK;1;27/04/21;110400;270.6000000
NLMK;1;27/04/21;110500;270.7800000
NLMK;1;27/04/21;110600;271.1800000
NLMK;1;27/04/21;110700;271.0400000
NLMK;1;27/04/21;110800;270.6800000
NLMK;1;27/04/21;110900;270.8000000
NLMK;1;27/04/21;111000;270.9400000
NLMK;1;27/04/21;111100;270.7400000
NLMK;1;27/04/21;111200;270.9200000
NLMK;1;27/04/21;111300;270.6200000
NLMK;1;27/04/21;111400;270.6600000
NLMK;1;27/04/21;111500;270.7800000
NLMK;1;27/04/21;111600;270.8000000
NLMK;1;27/04/21;111700;270.9000000
NLMK;1;27/04/21;111800;270.1800000
NLMK;1;27/04/21;111900;270.3800000
NLMK;1;27/04/21;112000;270.3400000
NLMK;1;27/04/21;112100;270.1200000
NLMK;1;27/04/21;112200;269.8000000
NLMK;1;27/04/21;112300;269.7600000
NLMK;1;27/04/21;112400;269.9200000
NLMK;1;27/04/21;112500;270.0000000
NLMK;1;27/04/21;112600;269.2800000
NLMK;1;27/04/21;112700;268.9000000
NLMK;1;27/04/21;112800;268.8600000
NLMK;1;27/04/21;112900;269.2000000
NLMK;1;27/04/21;113000;268.9200000
NLMK;1;27/04/21;113100;269.0000000
NLMK;1;27/04/21;113200;268.8600000
NLMK;1;27/04/21;113300;268.9000000
NLMK;1;27/04/21;113400;268.8200000
NLMK;1;27/04/21;113500;268.7200000
NLMK;1;27/04/21;113600;268.5000000
NLMK;1;27/04/21;113700;268.7200000
NLMK;1;27/04/21;113800;269.4600000
NLMK;1;27/04/21;113900;270.0600000
NLMK;1;27/04/21;114000;270.2000000
NLMK;1;27/04/21;114100;270.6200000
NLMK;1;27/04/21;114200;270.2000000
NLMK;1;27/04/21;114300;270.1200000
NLMK;1;27/04/21;114400;270.5000000
NLMK;1;27/04/21;114500;270.7000000
NLMK;1;27/04/21;114600;270.7000000
NLMK;1;27/04/21;114700;271.0000000
NLMK;1;27/04/21;114800;270.7000000
NLMK;1;27/04/21;114900;270.6000000
NLMK;1;27/04/21;115000;270.7400000
NLMK;1;27/04/21;115100;270.9200000
