<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NLMK;1;26/04/21;100100;276.9400000;278.2200000;276.2200000;278.0000000;103070
NLMK;1;26/04/21;100200;278.1200000;278.8000000;277.9400000;278.8000000;110580
NLMK;1;26/04/21;100300;278.5800000;278.9800000;278.3600000;278.9800000;49530
NLMK;1;26/04/21;100400;278.9800000;278.9800000;278.1600000;278.8200000;91620
NLMK;1;26/04/21;100500;278.8200000;279.3000000;278.7000000;279.2400000;80240
NLMK;1;26/04/21;100600;279.2000000;279.3800000;278.9000000;279.1000000;67310
NLMK;1;26/04/21;100700;279.1000000;279.4000000;279.0400000;279.3000000;34630
NLMK;1;26/04/21;100800;279.4200000;279.8000000;279.3000000;279.6000000;90980
NLMK;1;26/04/21;100900;279.5400000;279.9400000;279.3400000;279.8400000;92000
NLMK;1;26/04/21;101000;279.9200000;280.5000000;279.8200000;280.3800000;78330
NLMK;1;26/04/21;101100;280.3600000;280.4600000;280.0000000;280.1200000;30980
NLMK;1;26/04/21;101200;280.1000000;280.1000000;279.3400000;279.5800000;65950
NLMK;1;26/04/21;101300;279.5600000;279.7000000;279.3200000;279.5800000;24960
NLMK;1;26/04/21;101400;279.5600000;280.2000000;279.4600000;280.2000000;48910
NLMK;1;26/04/21;101500;280.1600000;280.2800000;279.5000000;279.5000000;27300
NLMK;1;26/04/21;101600;279.5000000;279.8600000;279.4200000;279.6800000;21360
NLMK;1;26/04/21;101700;279.8000000;279.9000000;279.6000000;279.8800000;34180
NLMK;1;26/04/21;101800;279.7800000;280.0000000;279.7600000;279.9600000;48510
NLMK;1;26/04/21;101900;279.9800000;280.3000000;279.9400000;280.1800000;30380
NLMK;1;26/04/21;102000;280.1800000;280.4400000;280.1600000;280.4000000;25410
NLMK;1;26/04/21;102100;280.4400000;280.9800000;280.4000000;280.9800000;81470
NLMK;1;26/04/21;102200;281.0000000;281.5000000;280.7800000;281.1000000;126190
NLMK;1;26/04/21;102300;281.1400000;281.5000000;281.0200000;281.2000000;64900
NLMK;1;26/04/21;102400;281.3600000;281.6000000;281.2000000;281.3400000;59330
NLMK;1;26/04/21;102500;281.3400000;281.9800000;281.2400000;281.8800000;127140
NLMK;1;26/04/21;102600;281.9600000;282.3800000;281.8400000;282.3000000;72890
NLMK;1;26/04/21;102700;282.3400000;282.4600000;281.2400000;281.4200000;168340
NLMK;1;26/04/21;102800;281.4200000;281.5000000;281.2200000;281.4000000;25810
NLMK;1;26/04/21;102900;281.4600000;281.4600000;281.1000000;281.2600000;30820
NLMK;1;26/04/21;103000;281.3800000;281.4800000;281.1800000;281.3200000;23240
NLMK;1;26/04/21;103100;281.3000000;281.8400000;281.3000000;281.8200000;11270
NLMK;1;26/04/21;103200;281.8400000;281.8400000;281.6400000;281.7600000;16120
NLMK;1;26/04/21;103300;281.7800000;281.8400000;281.3200000;281.4400000;23880
NLMK;1;26/04/21;103400;281.4400000;281.6000000;281.0200000;281.1800000;74320
NLMK;1;26/04/21;103500;281.2000000;281.2000000;280.7600000;281.1000000;39220
NLMK;1;26/04/21;103600;280.9400000;281.1200000;280.2400000;280.7600000;108790
NLMK;1;26/04/21;103700;280.7600000;280.8400000;280.1600000;280.4000000;14060
NLMK;1;26/04/21;103800;280.3200000;280.4000000;279.5800000;279.8600000;111110
NLMK;1;26/04/21;103900;279.8000000;280.0000000;279.3600000;280.0000000;65950
NLMK;1;26/04/21;104000;279.9600000;280.2600000;279.8600000;279.9400000;34000
NLMK;1;26/04/21;104100;279.9400000;280.7200000;279.9400000;280.7000000;48080
NLMK;1;26/04/21;104200;280.6800000;281.1200000;280.5200000;281.0200000;30230
NLMK;1;26/04/21;104300;281.1000000;281.4000000;281.0400000;281.2600000;12440
NLMK;1;26/04/21;104400;281.4000000;281.4000000;280.7000000;280.8800000;39440
NLMK;1;26/04/21;104500;280.8800000;281.1000000;280.8200000;280.8800000;11210
NLMK;1;26/04/21;104600;280.8800000;280.8800000;280.0800000;280.3800000;51580
NLMK;1;26/04/21;104700;280.5200000;280.5200000;279.1400000;279.4000000;127120
NLMK;1;26/04/21;104800;279.5800000;279.7200000;279.3800000;279.5400000;18870
NLMK;1;26/04/21;104900;279.5600000;279.7400000;279.0200000;279.5000000;71330
NLMK;1;26/04/21;105000;279.5000000;279.6000000;279.4200000;279.5600000;2970
