<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
MAIL;D;20201214;000000;2085.2000000
MAIL;D;20201215;000000;2086.0000000
MAIL;D;20201216;000000;2063.8000000
MAIL;D;20201217;000000;2049.6000000
MAIL;D;20201218;000000;2007.4000000
MAIL;D;20201221;000000;2000.8000000
MAIL;D;20201222;000000;1979.0000000
MAIL;D;20201223;000000;1973.2000000
MAIL;D;20201224;000000;1982.6000000
MAIL;D;20201225;000000;2025.0000000
MAIL;D;20201228;000000;1999.0000000
MAIL;D;20201229;000000;1975.8000000
MAIL;D;20201230;000000;1980.8000000
MAIL;D;20210104;000000;1984.8000000
MAIL;D;20210105;000000;2041.8000000
MAIL;D;20210106;000000;2005.6000000
MAIL;D;20210108;000000;2016.0000000
MAIL;D;20210111;000000;2059.0000000
MAIL;D;20210112;000000;2044.8000000
MAIL;D;20210113;000000;2017.4000000
MAIL;D;20210114;000000;1987.8000000
MAIL;D;20210115;000000;1967.0000000
MAIL;D;20210118;000000;1958.6000000
MAIL;D;20210119;000000;1935.4000000
MAIL;D;20210120;000000;1966.2000000
MAIL;D;20210121;000000;1950.8000000
MAIL;D;20210122;000000;1951.0000000
MAIL;D;20210125;000000;1959.8000000
MAIL;D;20210126;000000;1979.4000000
MAIL;D;20210127;000000;1990.0000000
MAIL;D;20210128;000000;1979.2000000
MAIL;D;20210129;000000;1962.0000000
MAIL;D;20210201;000000;1977.0000000
MAIL;D;20210202;000000;1990.4000000
MAIL;D;20210203;000000;2014.8000000
MAIL;D;20210204;000000;2037.6000000
MAIL;D;20210205;000000;2042.0000000
MAIL;D;20210208;000000;2023.0000000
MAIL;D;20210209;000000;2013.6000000
MAIL;D;20210210;000000;2013.6000000
MAIL;D;20210211;000000;2020.2000000
MAIL;D;20210212;000000;2004.8000000
MAIL;D;20210215;000000;2021.2000000
MAIL;D;20210216;000000;2039.8000000
MAIL;D;20210217;000000;2024.2000000
MAIL;D;20210218;000000;1997.4000000
MAIL;D;20210219;000000;2018.8000000
MAIL;D;20210220;000000;2019.2000000
MAIL;D;20210222;000000;2002.4000000
MAIL;D;20210224;000000;2041.8000000
MAIL;D;20210225;000000;2007.6000000
MAIL;D;20210226;000000;2011.4000000
MAIL;D;20210301;000000;2013.0000000
MAIL;D;20210302;000000;2007.0000000
MAIL;D;20210303;000000;2010.0000000
MAIL;D;20210304;000000;1938.8000000
MAIL;D;20210305;000000;1908.2000000
MAIL;D;20210309;000000;1884.0000000
MAIL;D;20210310;000000;1851.8000000
MAIL;D;20210311;000000;1861.8000000
MAIL;D;20210312;000000;1827.0000000
MAIL;D;20210315;000000;1834.0000000
MAIL;D;20210316;000000;1810.2000000
MAIL;D;20210317;000000;1818.8000000
MAIL;D;20210318;000000;1804.0000000
MAIL;D;20210319;000000;1792.0000000
MAIL;D;20210322;000000;1794.2000000
MAIL;D;20210323;000000;1749.0000000
MAIL;D;20210324;000000;1741.2000000
MAIL;D;20210325;000000;1716.0000000
MAIL;D;20210326;000000;1732.0000000
MAIL;D;20210329;000000;1755.8000000
MAIL;D;20210330;000000;1750.0000000
MAIL;D;20210331;000000;1738.0000000
MAIL;D;20210401;000000;1751.8000000
MAIL;D;20210402;000000;1770.2000000
MAIL;D;20210405;000000;1790.2000000
MAIL;D;20210406;000000;1759.4000000
MAIL;D;20210407;000000;1748.0000000
MAIL;D;20210408;000000;1743.6000000
MAIL;D;20210409;000000;1717.2000000
MAIL;D;20210412;000000;1750.8000000
