<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;60;12/02/21;110000;496.2000000
ROSN;60;12/02/21;120000;489.9000000
ROSN;60;12/02/21;130000;494.0500000
ROSN;60;12/02/21;140000;496.4500000
ROSN;60;12/02/21;150000;498.9000000
ROSN;60;12/02/21;160000;498.8000000
ROSN;60;12/02/21;170000;502.7000000
ROSN;60;12/02/21;180000;502.3500000
ROSN;60;12/02/21;190000;504.1500000
ROSN;60;12/02/21;200000;505.2500000
ROSN;60;12/02/21;210000;506.1000000
ROSN;60;12/02/21;220000;506.1000000
ROSN;60;12/02/21;230000;505.7000000
ROSN;60;13/02/21;000000;509.3500000
